Oman;1812161;2204277;2267973;2511251;3041434;3251108;3498029;3764805;4027260;4267348;4479219;4665935;4829483;4974986
Pakistan;107647921;123776839;142343578;160304008;179424641;183340592;187281475;191262919;195306825;199426964;203627284;207896686;212215030;216565318
Panama;2470947;2739668;3030328;3330217;3642687;3706483;3770624;3835437;3901315;3968487;4037078;4106771;4176873;4246439
Paraguay;4223415;4776843;5323201;5824096;6248020;6333976;6421512;6510276;6599526;6688746;6777872;6867062;6956071;7044636
Peru;22071433;24299160;26459944;27866145;29027674;29264318;29506788;29773987;30090359;30470734;30926032;31444297;31989256;32510453
Philippines;61895160;69784088;77991755;86326250;93966780;95570047;97212638;98871552;100513138;102113212;103663927;105173264;106651922;108116615
Poland;38110782;38594998;38258629;38165445;38042794;38063255;38063164;38040196;38011735;37986412;37970087;37974826;37974750;37970874
Portugal;9983218;10026176;10289898;10503330;10573100;10557560;10514844;10457295;10401062;10358076;10325452;10300300;10283822;10269417
Qatar;476278;513442;592468;865416;1856327;2035871;2196074;2336574;2459198;2565710;2654374;2724724;2781677;2832067
Romania;23201835;22684270;22442971;21319685;20246871;20147528;20058035;19983693;19908979;19815616;19702267;19587290;19472545;19356544
Russia;148292000;148375726;146596557;143518523;142849468;142960908;143201721;143506995;143819666;144096870;144342396;144496740;144477860;144373535
Saudi Arabia;16233785;18638787;20663843;23816183;27421461;28267685;29155187;30052518;30916994;31717667;32442572;33099147;33699947;34268528
Senegal;7526307;8690164;9797734;11090116;12678148;13033809;13401991;13782420;14174731;14578459;14993528;15419381;15854360;16296364
Serbia;7586000;7625357;7516346;7440769;7291436;7234099;7199077;7164132;7130576;7095383;7058322;7020858;6982604;6944975
Singapore;3047132;3524506;4027887;4265762;5076732;5183688;5312437;5399162;5469724;5535002;5607283;5612253;5638676;5703569
Slovakia;5299187;5361999;5388720;5372807;5391428;5398384;5407579;5413393;5418649;5423801;5430798;5439232;5446771;5454073
Slovenia;1998161;1989872;1988925;2000474;2048583;2052843;2057159;2059953;2061980;2063531;2065042;2066388;2073894;2087946
South Africa;36800509;41435758;44967708;47880601;51216964;52004172;52834005;53689236;54545991;55386367;56203654;57000451;57779622;58558270
Spain;38867322;39724050;40567864;43653155;46576897;46742697;46773055;46620045;46480882;46444832;46484062;46593236;46797754;47076781
Sri Lanka;17325773;18242912;18777601;19544988;20261737;20398670;20425000;20585000;20778000;20970000;21203000;21444000;21670000;21803000
Sudan;20147590;24094747;27275015;30949516;34545013;35349681;36193783;37072550;37977655;38902950;39847440;40813396;41801533;42813238
Sweden;8558835;8826939;8872109;9029572;9378126;9449213;9519374;9600379;9696110;9799186;9923085;10057698;10175214;10285453
Switzerland;6715519;7040687;7184250;7437115;7824909;7912398;7996861;8089346;8188649;8282396;8373338;8451840;8514329;8574832
Syria;12446171;14345492;16410848;18361176;21362529;21082966;20442541;19584274;18715672;17997408;17453933;17068002;16906283;17070135
Tanzania;25203845;29649135;33499180;38450320;44346525;45673338;47052481;48482266;49959822;51482633;53050790;54663906;56318348;58005463
Thailand;56558186;59467274;62952642;65416189;67195028;67518382;67835957;68144501;68438730;68714511;68971331;69209858;69428524;69625582
Trinidad and Tobago;1221116;1254200;1267153;1296502;1328147;1336178;1344817;1353700;1362342;1370328;1377564;1384072;1389858;1394973
Tunisia;8242496;9125398;9708350;10106771;10635244;10741880;10847002;10952951;11063201;11179949;11303946;11433443;11565204;11694719
Turkey;53921760;58486456;63240194;67903469;72326988;73443863;74653016;75928564;77231907;78529409;79821724;81101892;82319724;83429615
Turkmenistan;3683967;4207841;4516133;4754646;5087213;5174085;5267900;5366375;5466328;5565287;5662372;5757669;5850908;5942089
Uganda;17354392;20413152;23650172;27684585;32428167;33476919;34559168;35695246;36912148;38225453;39647506;41162465;42723139;44269594
Ukraine;51892000;51512299;49175848;47105150;45870741;45706086;45593342;45489648;45272156;45154036;45004674;44831135;44622518;44385155
United Arab Emirates;1828432;2415090;3134062;4588225;8549988;8946777;9141596;9197910;9214175;9262900;9360980;9487203;9630959;9770529
United Kingdom;57247586;58019030;58892514;60401206;62766365;63258810;63700215;64128273;64602298;65116219;65611593;66058859;66460344;66834405
United States of America;249623000;266278000;282162411;295516599;309321666;311556874;313830990;315993715;318301008;320635163;322941311;324985539;326687501;328239523
Uruguay;3109601;3224281;3319736;3321803;3359275;3368934;3378974;3389439;3400434;3412009;3424132;3436646;3449299;3461734
Uzbekistan;20510000;22785000;24650400;26167000;28562400;29339400;29774500;30243200;30757700;31298900;31847900;32388600;32956100;33580650
Venezuela;19632665;21931084;24192446;26432447;28439940;28888369;29362449;29783571;30045134;30081829;29846179;29390409;28870195;28515829
Vietnam;67988862;74910461;79910412;83832661;87967651;88871561;89802487;90753472;91714595;92677076;93638724;94596642;95540395;96462106
Yemen;11709993;14913315;17409072;20107409;23154855;23807588;24473178;25147109;25823485;26497889;27168210;27834821;28498687;29161922
Zambia;8036845;9096607;10415944;11856247;13605984;14023193;14465121;14926504;15399753;15879361;16363507;16853688;17351822;17861030
Zimbabwe;10432421;11410714;11881477;12076699;12697723;12894316;13115131;13350356;13586681;13814629;14030390;14236745;14439018;14645468
