;1990;1995;2000;2005;2009;2010;2011;2012;2013;2014;2015;2016;2017
Ethiopia;12175166763.285;7663984567.90123;8242392103.68061;12401139453.9738;32437389116.038;29933790334.3418;31952763089.33;43310721414.0829;47648211133.2183;55612228233.5179;64464547915.2698;73000980433.9486;80561496133.9172
European Union;;;;14433131405635.5;17102541287761;16986909515357.4;18349552365225.9;17292208081934.1;18028906567564.8;18635887171535.5;16416319932320;16493732605955.8;17281870755987.3
Finland;141517648888.198;134199346405.229;125539893126.958;204436015420.968;251499027507.641;247799815768.477;273674236772.815;256706466091.089;269980111642.898;272609288689.575;232464833065.553;238677672281.611;251884887972.766
France;1269179616913.63;1601094756209.75;1362248940482.77;2196126103718.44;2690222283967.77;2642609548930.36;2861408170264.61;2683825225092.63;2811077725703.59;2852165760630.27;2438207896251.84;2465134297438.91;2582501307216.42
Gabon;5952293765.84468;4958845906.34769;5067865320.7979;9578973591.00958;12065138272.7538;14358584300.3006;18186478119.9582;17171447372.3334;17590745162.1326;18179752009.7489;14377324797.637;14014369641.7689;15013950984.084
Germany;1764967948916.6;2591620035485.19;1949953934033.54;2861410272354.18;3418005001389.27;3417094562648.95;3757698281117.55;3543983909148.01;3752513503278.41;3890606893346.69;3375611100742.22;3477796274496.8;3677439129776.6
Ghana;5889174825.487;6465137614.6789;4983024408.14828;10731634116.7384;25977847813.7422;32174772955.9748;39566292432.8615;41939728978.7282;63277216928.5093;53601126663.9079;49181854798.2552;55009730600.0307;58996776237.7603
Greece;97891090928.6329;136878366230.328;130133845771.144;247783001865.44;330000252153.376;299361576558.217;287797822093.178;245670666639.047;239862011450.103;237029579260.722;195541761243.144;192690813126.86;200288277129.038
Guatemala;7650125217.35253;14655404433.2771;19288827158.9035;27211377220.0677;37734072275.5946;41338521642.0274;47654783850.6388;50388460920.182;53851148431.932;58722323918.1604;63767597193.9175;68663653469.1246;75620095537.5005
Honduras;4923009551.51562;5347445007.51309;7103507989.05044;9672035709.39793;14587496229.1811;15839344591.9842;17710315005.9999;18528601901.324;18499710127.8385;19756494434.7031;20979767785.2104;21643936938.9096;22978532896.7816
Hungary;46288369007.4588;46418916500.3536;47310623887.232;113035361316.749;130593960612.172;130922638689.071;140782064609.187;127856647107.82;135215704418.963;140118140454.711;122879042001.915;125816640420.569;139135029758.29
Iceland;6372905073.10779;7018100153.49728;8927140438.33317;16691490113.795;12944114736.1985;13310567802.9356;14732689534.5966;14292008745.4017;15548321544.3776;17304033020.5365;16942247373.9704;20304098101.4115;23909289978.5861
India;316697337894.513;355475984176.175;462146799336.77;808901077222.092;1323940295874.9;1656617073124.21;1823049927771.46;1827637859135.7;1856722121394.53;2039127446298.55;2102390808996.69;2274229710530.47;2600818243559.65
