Belgium;205331747706.422;288025588396.278;236204532891.1;385570948886.954;480951629493.033;522645519183.591;496181260258.3;521642714407.843;534678075827.361;462149679343.822;475900865683.644;503788776542.824;542685915417.411;529606710418.038
Bolivia;4867582620.20708;6715220507.05164;8397912509.09679;9549077869.1065;19649631450.6819;23963033588.0063;27084497539.7974;30659338784.3705;32996188133.1404;33000198263.3864;33941126193.9219;37508642112.8799;40287647901.5919;40895322865.4124
Bosnia and Herzegovina;;1866572953.73666;5505887894.48893;11222953519.4252;17176781336.7644;18644723860.9709;17226849297.07;18178503835.4491;18558343508.3435;16211541253.1897;16913330693.9653;18080118128.3854;20183498491.2492;20047848434.5487
Botswana;3790567051.86778;4730611067.02258;5788329609.15755;9931134940.51346;12786654365.8738;15351972229.5341;14420393563.5442;14901750764.9811;16250750259.0212;14420604205.7459;15646316818.3319;17405538618.3969;18663264705.8824;18340510789.4272
Brazil;461951782000;769305386182.849;655420645476.906;891630177251.068;2208871646202.82;2616200980392.16;2465188674415.03;2472806919901.67;2455993625159.37;1802214373741.32;1795700168991.49;2062831045935.95;1885482534238.33;1839758040765.62
Bulgaria;20632090909.0909;18867559523.8095;13153016530.8718;29636617749.8253;50363282117.233;57363610380.3768;54013812089.3561;55591336862.1064;56883172568.1726;50630703922.0132;53785050339.3665;58950125036.0127;66200847917.924;67927179736.6915
Burkina Faso;3101301780.95067;2379518099.2266;2628920056.10098;5462709498.45119;10109618964.2848;12080296644.0643;12561016091.4673;13444301139.1384;13943016923.9017;11832159275.603;12822558021.8952;14169905602.3981;16199434624.5768;15745810234.6602
Cambodia;1698000000;3441205692.9166;3677897739.07628;6293046161.83262;11242275198.9783;12829541141.0127;14054443213.4639;15227991395.2201;16702610842.4025;18049954289.4229;20016747754.0192;22177200511.5811;24571753583.4922;27089389786.9684
Cameroon;11151578050.7356;9643953174.7735;10083937740.0624;17944084201.4901;26169323292.5278;29375448542.4466;29102772799.0038;32357345500.9885;34989493826.2179;30928653813.8538;32643697595.8378;35009262788.15;38694095650.9763;38760467033.389
Canada;593929550908.468;604031623433.401;742295468318.632;1169357979864.66;1613464422811.13;1788647906047.76;1828689329348.99;1847208522155.34;1803533209844.65;1556129524418.21;1528243213982.08;1649878054226.82;1716262621082.22;1736425629519.96
Chile;33113887817.9731;73447063319.3034;77860932151.8471;122964812046.073;218537551220.071;252251992029.442;267122320056.702;278384345259.377;260541629960.664;243919085308.936;250440136356.127;277044950259.009;298258019275.049;282318159744.65
China;360857912565.966;734547898220.508;1211346869605.24;2285965892360.54;6087164527421.24;7551500425597.77;8532230724141.76;9570405758739.79;10475682846632.2;11061552790044.2;11233277146512.2;12310408652423.5;13894817110036.3;14342902842915.9
Colombia;47844090709.9908;92507279383.0387;99886577330.7271;145180960251.663;286563099757.481;334943877377.471;370921317942.563;382116120909.218;381112110485.384;293481753078.868;282825012368.255;311883730442.045;333568926392.586;323802808108.246
Congo DR;9349764580.36998;5643439376.10492;19088046305.7971;11964484667.9102;21565720044.4634;25839749198.8233;29306235826.3886;32679745297.6453;35909040265.9328;37917704900.0794;37134799974.5225;38019265625.8845;46831342212.5473;47319624204.0938
Costa Rica;5711687786.75989;11513472785.7262;14949514493.332;19948261084.3726;37268614024.3178;42262697840.385;46473128285.5589;49745088111.6953;50577769837.7462;54775994478.5095;57157992434.1805;58481858042.5721;60553901420.085;61773944173.6736
Côte d'Ivoire;10795850106.9547;11000146839.497;10717022462.6859;17084928927.4555;24908781285.4756;25414875503.0784;26789047554.5988;31273074527.6975;35363533865.7271;45814637971.4745;47964234560.0514;51588158717.5348;57724731364.7669;58792205642.1538
Croatia;;22417450485.5854;21669159307.5371;45386757883.4129;59807930156.4205;62354273096.4277;56494367810.1978;58056933513.2956;57642914303.6081;49530641704.2124;51596973258.8892;55319605060.5393;60991399904.4434;60415553038.8826
Cuba;28645436569.1489;30429803651.2192;30565400000;42643836100;64328000000;68990000000;73141000000;77148000000;80656000000;87133000000;91370000000;96851000000;100023000000;100023000000
