Panama;2471009;2739730;3030347;3330465;3579385;3643222;3707782;3772938;3838462;3903986;3969249;4034119;4098587
Paraguay;4213742;4760850;5302700;5795494;6127837;6209877;6293783;6379219;6465740;6552584;6639119;6725308;6811297
Peru;21826658;24038760;25914879;27610410;29001507;29373646;29759989;30158966;30565716;30973354;31376671;31773839;32165485
Philippines;61947348;69835715;77991569;86274237;92220879;93726624;95277940;96866642;98481032;100102249;101716359;103320222;104918090
Poland;38110782;38594998;38258629;38165445;38151603;38042794;38063255;38063164;38040196;38011735;37986412;37970087;37975841
Portugal;9983218;10026176;10289898;10503330;10568247;10573100;10557560;10514844;10457295;10401062;10358076;10325452;10293718
Qatar;476445;513455;592267;864863;1590780;1779676;1952054;2109568;2250473;2374419;2481539;2569804;2639211
Romania;23201835;22684270;22442971;21319685;20367487;20246871;20147528;20058035;19983693;19908979;19815481;19702332;19586539
Russian Federation;148292000;148375726;146596557;143518523;142785342;142849449;142960868;143201676;143506911;143819666;144096870;144342396;144495044
Saudi Arabia;16326815;18735841;20764312;23905654;26661492;27425676;28238020;29086357;29944476;30776722;31557144;32275687;32938213
Senegal;7555617;8746606;9884052;11251266;12550917;12916229;13300910;13703513;14120320;14546111;14976994;15411614;15850567
Serbia;7586000;7625357;7516346;7440769;7320807;7291436;7234099;7199077;7164132;7130576;7095383;7058322;7022268
Singapore;3047132;3524506;4027887;4265762;4987573;5076732;5183688;5312437;5399162;5469724;5535002;5607283;5612253
Slovakia;5299187;5361999;5388720;5372807;5386406;5391428;5398384;5407579;5413393;5418649;5423801;5430798;5439892
Slovenia;1998161;1989872;1988925;2000474;2039669;2048583;2052843;2057159;2059953;2061980;2063531;2065042;2066748
South Africa;37560525;42088165;45728315;48820586;50970818;51584663;52263516;52998213;53767396;54539571;55291225;56015473;56717156
Spain;38867322;39724050;40567864;43653155;46362946;46576897;46742697;46773055;46620045;46480882;46444832;46484062;46572028
Sri Lanka;17329713;18247121;18781938;19524558;20075086;20198353;20315017;20425000;20585000;20771000;20966000;21203000;21444000
Sudan;20147590;24102986;27250535;30911914;33650619;34385963;35167314;35990192;36849918;37737913;38647803;39578828;40533330
Sweden;8558835;8826939;8872109;9029572;9298515;9378126;9449213;9519374;9600379;9696110;9799186;9923085;10067744
Switzerland;6715519;7040687;7184250;7437115;7743831;7824909;7912398;7996861;8089346;8188649;8282396;8373338;8466017
Syria;12446171;14345492;16410848;18294611;20824893;21018834;20863993;20420701;19809141;19203090;18734987;18430453;18269868
Thailand;56582821;59491790;62958021;65425470;66881867;67208808;67530130;67843979;68143065;68416772;68657600;68863514;69037513
Trinidad and Tobago;1221900;1255001;1267984;1296934;1321618;1328100;1334788;1341588;1348248;1354493;1360092;1364962;1369125
Tunisia;8232797;9113975;9699197;10102482;10521834;10639931;10761467;10886668;11014558;11143908;11273661;11403248;11532127
Turkey;53921699;58486381;63240121;67903406;71339185;72326914;73409455;74569867;75787333;77030628;78271472;79512426;80745020
Turkmenistan;3683966;4207840;4516131;4754641;5007950;5087210;5174061;5267839;5366277;5466241;5565284;5662544;5758075
Uganda;17438907;20550291;24039274;28543940;32771895;33915133;35093648;36306796;37553726;38833338;40144870;41487965;42862958
Ukraine;51892000;51512299;49175848;47105150;46053300;45870700;45706100;45593300;45489600;45271947;45154029;45004645;44831159
United Arab Emirates;1860174;2448820;3154925;4579562;7666393;8270684;8672475;8900453;9006263;9070867;9154302;9269612;9400145
United Kingdom;57247586;58019030;58892514;60401206;62276270;62766365;63258918;63700300;64128226;64613160;65128861;65595565;66022273
United Republic of Tanzania;25459604;29960776;34178042;39410545;44664231;46098591;47570902;49082997;50636595;52234869;53879957;55572201;57310019
United States of America;249623000;266278000;282162411;295516599;306771529;309338421;311644280;313993272;316234505;318622525;321039839;323405935;325719178
Uruguay;3109989;3224804;3321245;3325612;3362755;3374415;3385624;3396777;3408005;3419546;3431552;3444006;3456750
Uzbekistan;20510000;22785000;24650400;26167000;27767400;28562400;29339400;29774500;30243200;30757700;31298900;31847900;32387200
Venezuela;19861956;22188667;24488340;26784161;28587323;29028033;29463291;29893080;30317848;30738378;31155134;31568179;31977065
Vietnam;68209605;75198977;80285562;84308843;87565407;88472512;89436644;90451881;91497725;92544915;93571567;94569072;95540800
Yemen;12057039;15320653;17874725;20582927;22974929;23606779;24252206;24909969;25576322;26246327;26916207;27584213;28250420
Zambia;8027253;9137077;10531221;12052156;13456417;13850033;14264756;14699937;15153210;15620974;16100587;16591390;17094130
Zimbabwe;10183113;11320346;12222251;12940032;13810599;14086317;14386649;14710826;15054506;15411675;15777451;16150362;16529904
