;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016
Japan;3103698099973.41;5333925511058.95;4731198760271.15;4571867441130.41;5035141567658.9;5498717815809.77;5908989186412.22;5957250118648.75;4908862837290.47;4596156556721.9;4123257609614.74
Jordan;4160003917.43258;6727446632.42009;8457923836.38928;12588665303.244;23818322957.7465;26425379436.6197;28840263380.2817;30937277605.6338;33593843661.9718;35826925774.6479;37517410281.6901
Kazakhstan;26932728898.8146;20374307047.115;18291990619.137;57123671733.8952;115308661142.927;148047348240.643;192626507971.584;207998568865.789;236634552078.102;221415572819.5;184388432148.715
Kenya;8572359162.86876;9046326059.98857;12705357103.0056;18737895401.1349;37021512048.8158;39999659233.7555;41953433591.4101;50410164013.5527;55100780396.387;61395415492.333;63398041540.367
Korea;284757121057.986;559329547369.922;561633037419.537;898137194716.188;901934953364.711;1094499338702.72;1202463682633.85;1222807195712.49;1305604981271.91;1411333926201.24;1377873107856.33
Kuwait;18427777777.7778;27191689008.0429;37711864406.7797;80797945205.4795;105899930507.297;115419050942.08;154027536231.884;174070025008.932;174161495063.47;162631763879.129;114041209704.221
Latvia;;5788368511.12379;7937758980.30127;16922504044.804;26169854045.0375;23765078166.4017;28420287436.9041;28072066041.3722;30256430184.6685;31322649595.3297;27002832427.6367
Lebanon;2838485353.96187;11718795528.4939;17260364842.4544;21287562189.0547;35139635157.5456;38009950248.7562;40078938640.1327;43205095854.063;44352417910.4478;45730945273.6318;47084703150.9121
Libya;28901836158.1921;25544128198.9955;38270206950.41;47334148578.4164;63028320702.0343;74773444900.5368;34699395523.6073;;;;
Lithuania;;7870782260.51698;11539211480.3625;26125575942.2814;37440673477.8982;37132564255.4319;43505562065.1266;42852204396.452;46412093986.4596;48353937110.2561;41170728956.4157
Luxembourg;13192045509.4157;21527461685.8238;21080997788.8336;36977365999.2538;50386496248.9581;52351655629.1391;58697386711.1482;55986712367.7993;61794506555.5051;64873963098.4868;57793612066.0974
Malaysia;44024178343.0071;88704944178.6284;93789736842.1053;143534102611.497;202257586267.556;255016609232.871;297951960784.314;314442825692.826;323276841537.339;338068990803.263;296283190372.552
Malta;2547163582.33149;3439931906.61479;4306192435.82207;6394851386.64345;8528202278.41067;8741059602.64901;9556435918.82124;9262238211.48657;10184944237.9182;10737561363.9379;9746478873.23944
Mexico;262709776007.964;343792792161.261;683647965226.955;866345821213.261;894948748436.748;1051128603513.77;1171187519660.64;1186598324461.82;1261981728468.52;1298175699755.5;1143793184190.1
Morocco;30180108561.9305;39030285468.3841;38857251336.3448;62343022650.8742;92897320375.8176;93216746661.5977;101370474295.109;98266306615.3632;106825649872.108;109881398474.953;100593283696.732
Myanmar;;;8905066163.58643;11986972418.5103;36906181380.8127;49540813342.4834;59977326085.9908;59731122170.0865;60132854536.7832;65574726566.3779;62600906116.0987
Netherlands;314267667675.178;446528959648.641;412807259996.315;678533764457.157;857932759099.75;836439735099.338;893701695857.659;828946812396.788;866680000367.264;879635084124.987;750283908173.45
New Zealand;45495727006.5141;63918703506.9075;52623281956.7031;114719425473.492;121337372727.841;146584522265.456;168462632327.382;176617424296.729;190690896703.83;200142409766.821;173754075210.516
