Greece;97891090928.6329;136878366230.328;130133845771.144;247783001865.44;330000252153.376;299361576558.217;287797822093.178;245670666639.047;239862011450.103;237029579260.722;195541761243.144;192690813126.86
Guatemala;7650125217.35253;14655487455.7333;19288926545.3759;27211377225.2715;37733994976.4136;41338595380.8159;47654841112.8523;50388454861.1111;53851058955.2999;58722323918.1604;63767597193.9175;68763255963.8943
Honduras;3048881322.9572;3911053180.39625;7103529494.37412;9672035709.39793;14587496229.1811;15839344591.9842;17710315005.9999;18528506894.0586;18496438641.4768;19756494434.7031;20844284855.0025;21516938909.5686
Hungary;46288369007.4588;46418916500.3536;47310623887.2319;113035361316.749;130593960612.172;130922638689.071;140782064609.187;127856647107.82;135215704418.963;140118140454.711;122879042001.915;125816640420.569
Iceland;6521544489.20626;7181787873.86945;8946079678.43696;16691213479.471;12887072301.1621;13254818331.1893;14674650434.6757;14218575093.024;15479256844.8708;17178962757.4324;16783714958.4498;20047413006.3471
India;316697337894.532;355475984176.175;462146799336.77;808901077222.092;1323940295874.9;1656617073124.21;1823049927771.46;1827637859135.7;1856722121394.53;2035393459979.46;2089865410867.82;2263792499341.01
Indonesia;113010829349.049;215215297396.313;175702220055.465;304371850794.764;574505139225.44;755094160363.071;892969107923.094;917869910105.749;912524136718.018;890814755233.225;861256351277.359;932259177765.307
Iran;124813263926.374;96419225743.6737;109591707802.216;226452138291.542;414059094949.063;487069570463.768;583500357530.417;598853401276.105;467414852231.298;434474616831.914;385874474398.59;418976679728.567
Iraq;179885815374.719;114920352863.99;82437621608.6253;49954890353.2609;111660855042.735;138516722649.573;185749664444.444;218000986222.639;234648370497.427;234648370497.427;179640210726.448;171489001692.047
Ireland;49364680083.3659;69222624494.9495;99853528745.1631;211650759109.563;236311338427.341;221951353966.878;239018540057.01;225571857948.338;239389337002.814;258099015103.504;290617006703.972;304819020500.641
Israel;58986997916.8733;100343219506.525;132339311284.428;142462925574.348;207419370241.335;233609522091.468;261628548084.179;257296579579.346;292489185194.417;308416982140.362;299096404728.826;317744784695.1
Italy;1177326294440.85;1170787352906.22;1141759996314.72;1852661982340.5;2185160183384.27;2125058244242.92;2276292404600.52;2072823157059.76;2130491320658.68;2151732868243.21;1832347450961.51;1858913163927.72
Japan;3139974443543;5449116304981.1;4887519660744.86;4755410630912.14;5231382674593.7;5700098114744.41;6157459594823.72;6203213121334.12;5155717056270.83;4848733415523.53;4383076298081.86;4940158776617.16
Jordan;4160003917.43258;6727446632.42009;8460424400.56418;12588665303.244;23820230000;26425379436.6197;28840263380.2817;30937277605.6338;33593843661.9718;35826925774.6479;37517410281.6901;38654727746.4789
Kazakhstan;26932728898.8146;20374307047.115;18291990619.137;57123671733.8953;115308661142.927;148047348240.643;192626507971.584;207998568865.789;236634552078.102;221415572819.5;184388432148.715;137278320084.171
