;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Canada;593929550908.468;604031623433.401;742295468318.632;1169357979864.66;1371153004986.44;1613464422811.13;1788647906047.76;1828689329348.99;1847208522155.34;1803533209844.65;1556129524418.21;1528243213982.08;1649878054226.82;1716262621082.22;1736425629519.96
Chad;1738605558.05432;1445919969.89272;1385058161.76746;6649307057.03314;9290728773.35723;10668102734.8132;12172309522.6171;12367363677.6199;12953535495.8781;13940768065.6063;10950392219.9104;10097778353.7651;10000395242.1457;11239167048.4916;11314951342.7807
Chile;33113887817.9731;73447063319.3034;77860932151.8471;122964812046.073;172389498444.62;218537551220.071;252251992029.442;267122320056.702;278384345259.377;260541629960.664;243919085308.936;250440136356.127;277044950259.009;298258019275.049;282318159744.65
China;360857912565.966;734547898220.508;1211346869605.24;2285965892360.54;5101703073086.04;6087163874512.21;7551500124203.36;8532229986993.65;9570406235659.64;10475682920594.5;11061553079876.4;11233276536737.2;12310409370892.8;13894817549374.2;14342903006431.3
Colombia;47844090709.9908;92507279383.0387;99886577330.7271;145619191582.061;232397835678.336;286563105192.456;334943871931.745;370921320483.841;382116126448.555;381112119657.445;293481748240.779;282825009887.458;311883730690.129;333568923004.469;323615979418.651
Congo;2798746050.58228;2116003977.97529;3219910550.39332;6650001213.82609;9723300390.77733;13148395201.8041;15655384440.3994;17692912613.1633;17958721571.7526;17783526317.8894;11953249529.737;10335424288.4306;11198674674.3816;13518403446.9566;12267392146.5888
Congo, Dem. Rep. of the;9349764580.36998;5643439376.10491;19088046305.7971;11964484667.9102;18648373312.4241;21565720044.4634;25839749198.8233;29306235826.3886;32679745297.6453;35909040265.9328;37917704900.0794;37134799974.5225;38019265625.8845;46831342212.5473;50400746171.4239
Costa Rica;5711687786.75989;11513472785.7262;14949514493.332;19948261084.3726;30562361123.0307;37268614024.3178;42262697840.385;46473128285.5589;49745088111.6953;50577769837.7462;54775994478.5095;57157992434.1805;58481858042.5721;60553901420.085;61801385049.0716
Côte d'Ivoire;10795850106.9547;11000146839.497;10717022462.6859;17091723906.153;24375209177.9302;24908781285.4756;25414875503.0784;26789047554.5988;31273074527.6975;35363533865.7271;45814637971.4745;47964234560.0514;51588158717.5348;58011466450.8643;58539424929.7248
Croatia;0;22534323220.0266;21633671680.8738;45376744001.8044;62600093958.9538;59918313669.1671;62537851352.4904;56580819623.8529;58194069434.1423;57639588805.5871;49525747503.8149;51601147665.8089;55481644098.0495;61375222347.0256;60752588976.3175
