;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Benin;1959965243.76269;2169627250.93379;3511248899.71759;6565043459.50021;9699586794.44956;9535344283.47295;10693321953.6355;11141358945.1349;12517845732.2095;13284528654.0574;11388160997.1089;11821065852.1271;12701655845.9612;14250987026.0533;14391686309.033;15651545208.8783
Bolivia;4867582620.20708;6715220507.05164;8397912509.09679;9549077869.10651;17339992165.2422;19649631314.0482;23963033430.5954;27084497482.8616;30659338880.3786;32996188012.6821;33000198248.9146;33941126193.9219;37508642170.767;40287647930.5355;40895322850.9407;36688861202.6049
Bosnia and Herzegovina;0;1866572953.73665;5505887894.48893;11222953519.4252;17613836209.9581;17176781336.7644;18644723860.9709;17226849297.07;18178503835.4491;18558343508.3435;16211541820.2438;16913330693.9653;18080118128.3854;20183510561.2553;20202479537.5193;19788422248.1072
Botswana;3790567051.86778;4730611067.02258;5788329609.15755;9918907108.09702;10267133177.7334;12786654498.3514;15351972361.1477;14380004175.1194;14901750991.2012;16250781586.6579;14420593484.0557;15646354089.458;17405588070.4332;18663265549.0196;18362348887.5873;15781732825.8934
Brazil;461951782000;769305386182.849;655420645476.906;891630177251.068;1667019783585.08;2208871646202.82;2616200980392.16;2465188674415.03;2472806919901.67;2455993625159.37;1802214373741.32;1795700168991.49;2063507864886.88;1916947014067.55;1877810514260.36;1444733258971.65
Brunei Darussalam;3520551724.13793;4734020036.68689;6001153306.2645;9531402847.87311;10732366286.2643;13707370737.0737;18525319977.7407;19047940300.8963;18093829923.2737;17098342541.4365;12930394937.8137;11400854267.7188;12128104859.1498;13567351175.0315;13469422941.3919;12016056665.3473
Bulgaria;20632090909.0909;18983303571.4286;13245833843.5454;29869283400.0381;52023504656.2878;50381825504.2642;57386216850.3377;54033250328.5151;55615397665.5809;56901994980.3283;50647442756.7445;53806894796.3801;58971520599.2509;66230155099.5776;68558815111.6199;69105101089.5531
Burkina Faso;3101301780.95067;2379518099.2266;2956746304.20757;6146352742.03313;9450697335.53565;10109618964.2848;12080296644.0643;12561016091.4673;13444301139.1384;13943016923.9017;11832159275.603;12833363370.174;14106956830.0857;16059910870.6239;15990803569.9961;17369059295.2226
Burundi;1132101252.51817;1000428393.88528;870486065.883137;1117113045.65222;1781455092.07114;2032135191.46216;2235820808.72913;2333308059.02403;2451625280.19537;2705783330.38791;3104394792.28413;2959641046.92291;3172292379.36329;3036937141.27062;3012308945.62671;3258187232.63159
Cambodia;1698000000;3441205692.9166;3677897739.07628;6293046161.83262;10401851850.6108;11242275198.9783;12829541141.0127;14054443213.4639;15227991395.2201;16702610842.4025;18049954289.4301;20016747754.0153;22177200511.5882;24571753583.504;27089389786.9684;25291251427.3979
Cameroon;11151578050.7356;9643953174.7735;10083937740.0624;17944084201.4901;26017925551.8426;26169323292.5278;29375448542.4466;29102772799.0038;32357345500.9885;34989493826.2179;30928653813.8538;32643697595.8378;35009262788.15;38694156862.9922;39007354359.2798;39802147568.2174
Canada;593929550908.468;604031623433.401;742295468318.632;1169357979864.66;1371153004986.44;1613464422811.13;1788647906047.76;1828689329348.99;1847208522155.34;1803533209844.65;1556508816217.14;1527994741907.43;1649265644244.1;1721853332869.63;1741576393905.98;1644037286481.26
Chad;1738605558.05432;1445919969.89272;1385058161.76746;6649307057.03314;9290728773.35723;10668102734.8132;12172309522.6171;12367363677.6199;12953535495.8781;13940768065.6063;10950392219.9104;10097778353.7651;10000395242.1457;11239167048.4916;11314951342.7807;10093118570.2918
Chile;33113887817.9731;73447063319.3034;77860932151.8471;122964812046.073;172389498444.62;218537551220.071;252251992029.442;267122320056.702;278384345259.377;260541629960.664;243919079437.373;250440149690.889;277034675515.671;297571693064.212;279385487344.526;252940023046.011
China;360857912565.966;734547898220.508;1211346869605.24;2285965892360.54;5101703073086.04;6087163874512.21;7551500124203.36;8532229986993.65;9570406235659.64;10475682920594.5;11061553079871.5;11233276536744.7;12310409370894.2;13894817549380.3;14279937467431;14722730697890.1
Colombia;47844090709.9908;92507279383.0387;99886577330.7271;145619191582.061;232397835678.336;286563105192.456;334943871931.745;370921320483.841;382116126448.555;381112119657.445;293481748240.779;282825009887.458;311883730690.129;334198214706.209;323429888934.257;271346896626.418
Congo, Dem. Rep. of the;9349764580.36998;5643439376.10491;19088046305.7971;11964484667.9102;18648373312.4241;21565720044.4634;25839749198.8233;29306235826.3886;32679745297.6453;35909040265.9328;37917704900.0794;37134799974.5225;38019265625.8845;46831342212.5473;50400746171.4239;49868970641.1062
Congo, Rep.;2798746050.58228;2116003977.97529;3219910550.39332;6650001213.82609;9723300390.77733;13148395201.8041;15655384440.3994;17692912613.1633;17958721571.7526;17783526317.8894;11885478502.053;10158508345.3104;11109029840.2479;13642740884.1356;12693562947.7856;10884686142.6442
Costa Rica;5711687786.75989;11513472785.7262;14949514493.332;19948261084.3726;30562361123.0307;37268614024.3178;42262697840.385;46473128285.5589;49745088111.6953;50577769837.7462;56441917652.9812;58847016044.7363;60516043590.1832;62335931464.4979;63951114302.2599;61520669890.4037
