Tanzania, United Republic of;25203848;29649128;33499177;38450323;43073830;44346532;45673520;47053033;48483132;49960563;51482638;53049231;54660345;56313444;58005461;59734213
Thailand;56558196;59467272;62952639;65416189;66866834;67195032;67518379;67835969;68144519;68438748;68714519;68971313;69209817;69428454;69625581;69799978
Togo;3774310;4226293;4924406;5611643;6250840;6421674;6595939;6773807;6954721;7137997;7323162;7509952;7698476;7889095;8082359;8278737
Trinidad and Tobago;1221121;1254200;1267159;1296497;1320921;1328144;1336180;1344814;1353708;1362337;1370332;1377563;1384060;1389841;1394969;1399491
Tunisia;8242509;9125400;9708347;10106778;10525691;10635245;10741872;10846993;10952949;11063195;11179951;11303942;11433438;11565203;11694721;11818618
Turkey;53921758;58486453;63240196;67903461;71321406;72326992;73443254;74651046;75925454;77229262;78529413;79827868;81116451;82340090;83429607;84339067
Turkmenistan;3683978;4207841;4516128;4754652;5007953;5087211;5174076;5267906;5366376;5466324;5565283;5662371;5757667;5850902;5942094;6031187
Uganda;17354395;20413157;23650159;27684590;31411096;32428164;33476772;34558700;35694519;36911530;38225447;39649173;41166588;42729032;44269587;45741000
Ukraine;51891400;51512800;49176500;47105171;46053331;45870741;45706086;45593342;45489648;45272155;45154036;45004673;44831135;44622518;44386203;44134693
United Arab Emirates;1828437;2415099;3134067;4588222;7917368;8549998;8946778;9141598;9197908;9214182;9262896;9360975;9487206;9630966;9770526;9890400
United Kingdom;57247586;58019030;58892514;60401206;62276270;62766365;63258810;63700215;64128273;64602298;65116219;65611593;66058859;66460344;66836327;67215293
United States of America;249623000;266278000;282162411;295516599;306771529;309327143;311583481;313877662;316059947;318386329;320738994;323071755;325122128;326838199;328329953;329484123
Uruguay;3109598;3224275;3319734;3321799;3349676;3359273;3368926;3378975;3389436;3400439;3412013;3424139;3436645;3449290;3461731;3473727
Uzbekistan;20510000;22785000;24650400;26167000;27767400;28562400;29339400;29774500;30243200;30757700;31298900;31847900;32388600;32956100;33580350;34232050
Venezuela;19632665;21931087;24192449;26432445;28031010;28439942;28887873;29360827;29781046;30042973;30081827;29851249;29402480;28887117;28515829;28435943
Vietnam;67988855;74910462;79910411;83832662;87092250;87967655;88871384;89801926;90752593;91713850;92677082;93640435;94600643;95545959;96462108;97338583
Yemen;11709987;14913313;17409071;20107416;22516464;23154854;23807586;24473176;25147112;25823488;26497881;27168210;27834811;28498683;29161922;29825968
Zambia;8036849;9096608;10415942;11856244;13215142;13605986;14023199;14465148;14926551;15399793;15879370;16363449;16853608;17351714;17861034;18383956
Zimbabwe;10432409;11410721;11881482;12076697;12526964;12697728;12894323;13115149;13350378;13586710;13814642;14030338;14236599;14438812;14645473;14862927
