id_master_country;cod_unstats_num;cod_unstats_alpha;cod_eurostat;full_name_en_order;full_name_es_order;full_name_en;full_name_es;short_name_en_order;short_name_es_order;short_name_en;short_name_es;date_in;date_out;country;geom
un417;417;KGZ;;Kyrgyzstan;Kirguistán;Kyrgyzstan;Kirguistán;Kyrgyzstan;Kirguistán;Kyrgyzstan;Kirguistán;;;t;
un418;418;LAO;;Lao People's Democratic Republic;República Democrática Popular de Lao;Lao People's Democratic Republic;República Democrática Popular de Lao;Lao People's Democratic Republic;República Democrática Popular de Lao;Lao People's Democratic Republic;República Democrática Popular de Lao;;;t;
un850;850;VIR;;United States Virgin Islands;Islas Vírgenes de los Estados Unidos;United States Virgin Islands;Islas Vírgenes de los Estados Unidos;United States Virgin Islands;Islas Vírgenes de los Estados Unidos;United States Virgin Islands;Islas Vírgenes de los Estados Unidos;;;t;
un428;428;LVA;LV;Latvia;Letonia;Latvia;Letonia;Latvia;Letonia;Latvia;Letonia;;;t;
un430;430;LBR;;Liberia;Liberia;Liberia;Liberia;Liberia;Liberia;Liberia;Liberia;;;t;
un434;434;LBY;LY;Libya;Libia;Libya;Libia;Libya;Libia;Libya;Libia;;;t;
un438;438;LIE;LI;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;;;t;
un440;440;LTU;LT;Lithuania;Lituania;Lithuania;Lituania;Lithuania;Lituania;Lithuania;Lituania;;;t;
un442;442;LUX;LU;Luxembourg;Luxemburgo;Luxembourg;Luxemburgo;Luxembourg;Luxemburgo;Luxembourg;Luxemburgo;;;t;
un446;446;MAC;;China, Macao Special Administrative Region;China, Región Especial Administrativa de Macao;China, Macao Special Administrative Region;China, Región Especial Administrativa de Macao;China, Macao Special Administrative Region;China, Región Especial Administrativa de Macao;China, Macao Special Administrative Region;China, Región Especial Administrativa de Macao;;;t;
un450;450;MDG;;Madagascar;Madagascar;Madagascar;Madagascar;Madagascar;Madagascar;Madagascar;Madagascar;;;t;
un454;454;MWI;;Malawi;Malawi;Malawi;Malawi;Malawi;Malawi;Malawi;Malawi;;;t;
un458;458;MYS;;Malaysia;Malasia;Malaysia;Malasia;Malaysia;Malasia;Malaysia;Malasia;;;t;
un462;462;MDV;;Maldives;Maldivas;Maldives;Maldivas;Maldives;Maldivas;Maldives;Maldivas;;;t;
un466;466;MLI;;Mali;Mali;Mali;Mali;Mali;Mali;Mali;Mali;;;t;
un470;470;MLT;MT;Malta;Malta;Malta;Malta;Malta;Malta;Malta;Malta;;;t;
un474;474;MTQ;;Martinique;Martinica;Martinique;Martinica;Martinique;Martinica;Martinique;Martinica;;;t;
un478;478;MRT;;Mauritania;Mauritania;Mauritania;Mauritania;Mauritania;Mauritania;Mauritania;Mauritania;;;t;
un480;480;MUS;;Mauritius;Mauricio;Mauritius;Mauricio;Mauritius;Mauricio;Mauritius;Mauricio;;;t;
un484;484;MEX;;Mexico;Méjico;Mexico;Méjico;Mexico;Méjico;Mexico;Méjico;;;t;
un492;492;MCO;;Monaco;Mónaco;Monaco;Mónaco;Monaco;Mónaco;Monaco;Mónaco;;;t;
un496;496;MNG;;Mongolia;Mongolia;Mongolia;Mongolia;Mongolia;Mongolia;Mongolia;Mongolia;;;t;
un498;498;MDA;;Republic of Moldova;República de Moldova;Republic of Moldova;República de Moldova;Republic of Moldova;República de Moldova;Republic of Moldova;República de Moldova;;;t;
un499;499;MNE;ME;Montenegro;Montenegro;Montenegro;Montenegro;Montenegro;Montenegro;Montenegro;Montenegro;;;t;
un500;500;MSR;;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;;;t;
un504;504;MAR;MA;Morocco;Marruecos;Morocco;Marruecos;Morocco;Marruecos;Morocco;Marruecos;;;t;
un508;508;MOZ;;Mozambique;Mozambique;Mozambique;Mozambique;Mozambique;Mozambique;Mozambique;Mozambique;;;t;
un512;512;OMN;;Oman;Omán;Oman;Omán;Oman;Omán;Oman;Omán;;;t;
un516;516;NAM;;Namibia;Namibia;Namibia;Namibia;Namibia;Namibia;Namibia;Namibia;;;t;
un520;520;NRU;;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;;;t;
un524;524;NPL;;Nepal;Nepal;Nepal;Nepal;Nepal;Nepal;Nepal;Nepal;;;t;
