id_master_country;date_in;date_out;energy;primary_goods;manufactures;services;investments;troops;military_equipment;migrations;tourism;sports;culture;information;technology;science;education;cooperation;economic_presence;military_presence;soft_presence;iepg
un170;1995-01-01;1995-12-31;14.6075197;25;2.705573908;3.344340513;0.239624893;1.082748609;5;2.55217534;18.22468866;32.31159793;0.242667825;0;0.229394223;0.896648118;4;0;7.251969117;3.00220179;4.785548812;5.437453005
un410;1995-01-01;1995-12-31;12.99826176;46;101.8863066;46.75232468;2.386298013;0.789378176;35;13.65109112;48.89010474;172.7523812;0.043449924;0;69.47115809;17.20626716;3.00190287;4.137334836;40.07042059;17.55258287;29.59785624;31.65018695
un191;1995-01-01;1995-12-31;2.054232101;5;3.046434004;4.827399028;0.163976373;0;0;16.83996141;19.34500547;36.26115063;0;0;0.31762277;2.944873722;1.238303857;0;2.781984212;0;6.338199834;3.972725924
un208;1995-01-01;1995-12-31;6.628022328;77;25.97347589;30.10447315;5.761915169;2.788531333;2;6.946442624;27.66921995;60.28560013;3;0;7.32296942;19.15779542;13.59712132;61.93190037;24.81986597;2.40215098;18.86116771;18.49203037
un818;1995-01-01;1995-12-31;6.746326349;4;1.236345213;16.89428387;0.081666299;0.105855311;8;4.071189966;37.40034391;24.47340229;0;0;0.017645709;6.332211058;10.18194589;0;5.888526313;3.973986209;7.429568985;6.291079526
un784;1995-01-01;1995-12-31;105.6408469;14;4.427345643;2.27693781;0.165643194;0;1;40.08055351;30.15736543;14.27615133;0;0;0.035291419;0.635858306;2.397889131;0;22.28758449;0.49;7.689380875;12.08479731
un703;1995-01-01;1995-12-31;1.809178721;6;6.127156857;4.677808896;0.032310915;1.808613598;0;2.651069886;11.76332656;21.92408955;1.309580708;0;0.582308412;6.004026126;2.720332556;0;3.415380425;0.922392935;4.15104219;3.354906839
un705;1995-01-01;1995-12-31;0.519896622;4;6.627498265;3.986972324;0.11427226;0;0;4.675068001;9.535719869;25.87364225;0.07241654;0;0.864639763;2.350038532;0.732688346;0;2.885795467;0;3.583318741;2.744928898
un724;1995-01-01;1995-12-31;8.224508655;99;62.1920273;79.59056438;8.521279567;4.270505686;29;24.31934614;454.9007347;146.4373143;6.994061844;0;12.28141377;47.96774411;32.40026583;48.13651351;47.31017951;16.3879579;70.48392489;53.02254693
un840;1995-01-01;1995-12-31;54.96931193;578;402.5109192;431.0803688;318.1076333;782.7183644;1016;666.197739;566.541608;597.2023442;343.1819828;0;421.4854158;764.9814956;686.9513353;278.9691829;347.3931295;897.0263658;461.1499648;487.6625915
un233;1995-01-01;1995-12-31;1.041690333;3;0.982382043;1.724436333;0.01572243;0.027219937;0;7.211033417;6.904278047;16.18625384;0;0;4.78198726;1.110554369;1;0;1.174688857;0.013882168;3.278340669;1.95663962
un608;1995-01-01;1995-12-31;1.381493707;19;6.340421527;9.190569095;0.305094041;0;1;4.91170018;22.92741389;6.308608005;0;0;0.052937128;0.829252998;7.363215109;0;6.179908515;0.49;3.937100826;4.237831616
un246;1995-01-01;1995-12-31;4.016996755;32;29.98130384;14.58275642;3.49725128;4.249334624;0;2.413199773;34.4432286;45.81919136;0.308928959;0;17.34573239;17.2502205;5.15455334;14.12243558;15.14263949;2.167160658;12.92652292;12.04714926
un250;1995-01-01;1995-12-31;34.97931098;289;189.4950965;165.383042;47.68401626;24.67033632;127;142.1288875;782.0462717;181.9299071;48.23274676;0;108.6975702;126.3160362;250.3099544;317.2294995;132.2012392;74.81187152;194.1945228;151.5358508
un300;1995-01-01;1995-12-31;3.749591936;26;4.801471574;18.89052347;0.685133162;9.856641665;19;12.82587989;131.9628993;32.50185537;0.709682091;0;0.476434155;9.892431528;2.231369052;5.124887092;9.538175883;14.33688725;17.44185353;13.94166142
un528;1995-01-01;1995-12-31;86.7499061;318;111.1442403;90.30732256;40.27642376;16.42571982;15;32.38969235;85.63910166;108.3954089;16.34426823;0;26.43327275;50.47308444;13.43665652;119.0069587;110.4263855;15.72711711;43.66810056;64.56569149
un348;1995-01-01;1995-12-31;1.957996673;19;7.7505355;10.12105276;0.064859595;1.602951851;1;6.849883801;37.49153249;175.4919514;3.233543341;0;1.199908242;9.379642571;9.686927114;0;6.71725213;1.307505444;19.204172;11.5956758
un356;1995-01-01;1995-12-31;2.758955997;69;16.4310022;13.32410277;0.115516753;3.411565449;44;164.0183802;27.66921995;7.138075667;2;0;1.111679695;44.81189436;19.3799095;0.944058149;15.84739051;23.29989838;25.99348995;21.70699751
un360;1995-01-01;1995-12-31;60.4233227;35;11.54556234;10.75609296;1;1.058553109;16;5.118505167;56.32848731;32.05290257;2;0;0.123519966;0.849764557;1.736350273;0;20.46921193;8.379862086;8.400323878;12.98322745
un368;1995-01-01;1995-12-31;9.834271313;0;0.071547123;0;0;0;6;3.123633529;0.794643322;8.667663309;0;0;0;0.263720035;0;0;1.784478261;2.94;0.991027752;1.604374505
un364;1995-01-01;1995-12-31;74.61241442;10;2.076071911;1.166275941;0;3.478103073;12;70.43466255;6.370173519;24.53431204;2;0;0.088228547;1.344972178;0.805351653;0;15.41369244;7.653832567;9.19934566;11.31351534
un372;1995-01-01;1995-12-31;1.000895608;54;27.66948205;9.866537124;3.924863233;2.083837406;0;6.159023411;62.76379553;34.54130556;9;0;4.093804591;5.875096331;8.771066682;5.169729854;16.0238256;1.062757077;12.77765224;12.13681489
un352;1995-01-01;1995-12-31;0.004520272;9;0.185815274;1.358725239;0.041916044;0;0;0.251487383;2.475118545;18.86491426;1;0;0.264685642;0.767718324;0.237669567;0.202298175;1.53138168;0;1.89122403;1.451888092
un376;1995-01-01;1995-12-31;0.445020773;41;9.841463206;15.64068474;0.765740274;0;7;44.82987417;28.85467146;30.97226772;4;0;10.42861428;25.28196067;13;3.009185349;11.17484634;3.43;15.65014152;11.99430671
un380;1995-01-01;1995-12-31;15.11912656;113;183.0498107;121.1894441;24.8000992;7.609484636;67;40.2541445;404.5125319;131.5903907;16.0976175;0;55.81337898;76.38504297;33.86261488;65.93436975;88.34300285;36.71083716;78.73386604;75.66165341
