id_master_country|date_in|date_out|energy|primary_goods|manufactures|services|investments|troops|military_equipment|migrations|tourism|sports|culture|information|technology|science|education|cooperation|economic_contribution|military_contribution|soft_contribution
un056|2013-01-01|2013-12-31|18.8345|24.2649|20.088|16.872|24.442|0.0795|0.2271|0.9453|4.059|2.8728|2.867983221832|9.4043|1.5132|3.2547|3.1065|3.52|104.5014|0.3066|31.543783221832
un076|2013-01-01|2013-12-31|9.6605|37.0899|5.4312|6.9264|5.454|0.5565|2.8009|0.6576|3.034|6.9426|0.0636181331256|21.2046|0.2328|6.2239|1.199|0.528|64.562|3.3574|40.0861181331256
un100|2013-01-01|2013-12-31|1.5985|2.6163|0.8184|1.2432|0|0.159|0.2271|0.1233|3.485|1.4706|0.2094|2.1564|0|0.3997|0.872|0.044|6.2764|0.3861|8.7604
un124|2013-01-01|2013-12-31|42.3255|33.0372|13.8384|13.8528|16.867|0.318|2.1196|6.9048|8.733|5.7456|10.7492|17.1314|6.693|10.1638|8.7745|8.448|119.9209|2.4376|83.3433
un634|2013-01-01|2013-12-31|44.4105|0.513|0.5952|1.776|0.505|0|0.0757|1.233|1.353|1.1628|0|0.2995|0|0.1142|0.5995|1.232|47.7997|0.0757|5.994
un152|2013-01-01|2013-12-31|0.278|19.3914|0.6696|2.22|2.323|0.159|0.9084|0.2877|1.886|1.8468|0.4188|2.4559|0|1.0278|0.218|0|24.882|1.0674|8.141
un156|2013-01-01|2013-12-31|11.3285|27.3429|127.2984|33.3888|12.019|0.477|8.4027|0.6576|30.832|26.2656|0.6347609674962|11.9201|4.1322|31.2337|6.5945|2.816|211.3776|8.8797|115.086460967496
un196|2013-01-01|2013-12-31|0.278|0.1026|0.0744|1.4208|0.202|0|0|0.1644|1.312|0.7182|0.0698|0.2995|0.0582|0.1713|0.763|0.044|2.0778|0|3.6004
un170|2013-01-01|2013-12-31|14.456|3.1293|0.6696|0.888|0.707|0.0795|0.3785|0.1233|1.148|4.5144|0.1359656890584|1.5574|0|0.571|0.545|0|19.8499|0.458|8.5950656890584
un191|2013-01-01|2013-12-31|0.6255|0.8721|0.5208|2.1312|0.101|0.0795|0|0.6576|5.535|3.5226|0.1002619755624|0.5391|0|0.6281|0.0545|0.044|4.2506|0.0795|11.0811619755624
un208|2013-01-01|2013-12-31|3.9615|7.2846|4.464|11.3664|5.454|0.2385|0.3785|0.4521|4.305|4.1382|1.1168|6.8286|0.6984|2.4553|1.4715|4.18|32.5305|0.617|25.6459
un818|2013-01-01|2013-12-31|3.9615|2.0007|0.744|3.8184|0.101|0.8745|0.6813|0.2466|5.986|1.8468|0.5584|1.0183|0|1.1991|4.033|0|10.6256|1.5558|14.8882
un784|2013-01-01|2013-12-31|68.944|18.8784|4.6128|2.664|1.414|0|0.1514|3.1647|3.813|0.9234|0|1.3178|0.0582|0.2284|3.5425|1.716|96.5132|0.1514|14.764
un703|2013-01-01|2013-12-31|1.7375|2.3598|4.464|1.2432|0.101|0.159|0|0.1233|0.82|2.1888|0.0698|0.4193|0.0582|0.5139|0.7085|0.132|9.9055|0.159|5.0338
un705|2013-01-01|2013-12-31|0.6255|0.8208|1.488|1.1544|0.202|0.0795|0|0.1644|1.148|2.565|0.0698|0.8386|0.0582|0.6281|0.1635|0.088|4.2907|0.0795|5.7236
un724|2013-01-01|2013-12-31|7.7145|17.7498|12.648|23.8872|14.746|0.5565|2.9523|6.1239|30.832|7.695|5.328801257688|17.1913|0.9894|8.9647|5.1775|3.168|76.7455|3.5088|85.470601257688
un233|2013-01-01|2013-12-31|0.7645|0.8208|0.6696|0.9768|0.101|0|0|0.1644|1.476|1.2312|0.0861358233632|0.2396|0.0582|0.2855|0.109|0.044|3.3327|0|3.6940358233632
un608|2013-01-01|2013-12-31|0.4865|2.3598|2.8272|3.1968|0.202|0.159|0.0757|0.411|2.296|0.4104|0.2375697009146|2.9351|0|0.1713|0.218|0|9.0723|0.2347|6.6793697009146
un246|2013-01-01|2013-12-31|2.919|3.2319|3.4968|5.1504|3.333|0.0795|0|0.2055|2.255|1.8468|0.2792|4.8519|1.3968|1.8272|1.308|1.98|18.1311|0.0795|15.9504
un250|2013-01-01|2013-12-31|9.1045|26.5221|28.1976|36.9408|35.249|2.6235|6.3588|6.4116|43.501|11.5254|9.423|33.7836|5.82|11.4771|22.127|20.108|136.014|8.9823|164.1767
un300|2013-01-01|2013-12-31|5.004|2.7702|0.744|5.9496|1.01|0.318|0.9841|1.0686|8.282|2.4966|0.698|2.5757|0.0582|1.8272|2.2345|0.484|15.4778|1.3021|19.7248
un528|2013-01-01|2013-12-31|45.6615|38.1672|23.3616|23.3544|23.028|0.159|1.2869|1.6851|6.027|7.8318|2.680929892158|21.3843|3.201|5.9955|3.161|8.36|153.5727|1.4459|60.326629892158
un348|2013-01-01|2013-12-31|1.39|3.6423|5.5056|3.552|0.808|0.2385|0|0.3699|2.214|6.4638|5.682693014792|0.599|0.0582|1.0278|1.3625|0.176|14.8979|0.2385|17.953893014792
un356|2013-01-01|2013-12-31|19.877|21.6999|10.416|24.6864|2.828|1.749|3.5579|5.2197|3.362|2.0178|1.458992359234|6.7687|0.4074|8.0511|2.289|1.012|79.5073|5.3069|30.586692359234
un360|2013-01-01|2013-12-31|23.1435|17.0316|4.464|4.0848|0.303|0.477|2.4981|0.1233|4.305|0.8208|0.4886|2.6955|0|0.2284|0.545|0|49.0269|2.9751|9.2066
un368|2013-01-01|2013-12-31|34.1245|0.1539|0|0.5328|0|0|0.0757|0.0822|0|0.5472|0.0156694909252|0|0|0.0571|0|0|34.8112|0.0757|0.7021694909252
un364|2013-01-01|2013-12-31|28.078|1.9494|0.744|1.4208|0.101|0|0.3785|2.055|2.05|4.788|0.5584|0.4792|0.0582|4.0541|0.3815|0|32.2932|0.3785|14.4244
un372|2013-01-01|2013-12-31|0.834|4.104|6.6216|20.2464|8.383|0.0795|0|0.8631|4.059|2.4282|1.352176523002|2.0366|0.582|1.2562|1.744|1.188|40.189|0.0795|15.509276523002
un352|2013-01-01|2013-12-31|0.0695|1.2312|0.0744|0.5328|0.202|0|0|0.0411|0.369|1.1286|0.0698|0.7787|0.0582|0.1713|0.109|0.044|2.1099|0|2.7697
un376|2013-01-01|2013-12-31|0.417|6.0534|2.7528|5.1504|1.717|0|0.3785|2.8359|1.558|0.9918|0.9772|1.7371|2.1534|2.1127|0.9265|0.308|16.0906|0.3785|13.6006
un380|2013-01-01|2013-12-31|10.981|18.4167|26.412|18.204|13.332|1.5105|4.3149|4.2744|24.764|10.1916|0.349|17.97|2.7354|9.6499|6.0495|4.224|87.3457|5.8254|80.2078
un392|2013-01-01|2013-12-31|4.9345|11.6451|47.0208|25.3968|24.846|0.159|7.0401|2.0961|4.469|12.2094|0.4886|20.0066|27.4704|12.9046|12.4805|27.676|113.8432|7.1991|119.8012
un398|2013-01-01|2013-12-31|23.5605|4.7196|0.744|0.888|0.505|0|0|2.9592|2.583|0.4104|0.004448113539|1.3777|0|0.0571|0.763|0|30.4171|0|8.154848113539
un414|2013-01-01|2013-12-31|38.225|0.4104|0.5208|1.776|0.606|0|0|2.0139|3.075|0.855|0|0.0599|0.0582|0.1142|0.654|0.66|41.5382|0|7.4902
un428|2013-01-01|2013-12-31|0.3475|1.1799|0.4464|0.7992|0|0|0|0.3288|0.779|1.0944|0.0698|0.599|0|0.1142|0.1635|0.044|2.773|0|3.1927
