code|date_in|date_out|global_quota|economic_quota|soft_quota
HR|2011-01-01|2011-12-01|0.695621904846647|0.411669454706219|0.996438941060339
HR|2012-01-01|2012-12-01|0.67950305659555|0.386366359194705|1.00534111273996
HR|2013-01-01|2013-12-01|0.697940190668536|0.373405287733344|1.04940623190227
HU|2005-01-01|2005-12-01|2.2219536448762|0.952089374994385|3.81157518971974
HU|2010-01-01|2010-12-01|1.69768635958074|1.14447487498672|2.27426594014947
HU|2011-01-01|2011-12-01|1.68763033662153|1.18075562162473|2.2246095013429
HU|2012-01-01|2012-12-01|1.81211177821219|1.21438221656775|2.47652206936024
HU|2013-01-01|2013-12-01|1.76490158056192|1.27283401519204|2.29780278057432
IE|2005-01-01|2005-12-01|2.72365665394322|3.18451476851714|2.14675248755473
IE|2010-01-01|2010-12-01|2.65346154090838|3.66813370682851|1.59592881041866
IE|2011-01-01|2011-12-01|2.56413439614525|3.54245003103667|1.52771435601526
IE|2012-01-01|2012-12-01|2.55273362305296|3.52455575580691|1.47249823300334
IE|2013-01-01|2013-12-01|2.53497909386322|3.5639447403445|1.42062597170767
IT|2005-01-01|2005-12-01|7.22243596807329|7.08904949263609|7.38940973068293
IT|2010-01-01|2010-12-01|6.90952423554454|6.50791403155344|7.32809877605547
IT|2011-01-01|2011-12-01|6.82828816249585|6.43676271481024|7.24306720284847
IT|2012-01-01|2012-12-01|6.5597805454184|6.13651420687632|7.03026507432516
IT|2013-01-01|2013-12-01|6.41762276861998|5.85985722402751|7.02167381558437
LT|2005-01-01|2005-12-01|0.298742641267233|0.336806543408055|0.251094085150683
LT|2010-01-01|2010-12-01|0.380500688134435|0.362359118030871|0.399408572682147
LT|2011-01-01|2011-12-01|0.383354393438999|0.405015169781754|0.360407134000694
LT|2012-01-01|2012-12-01|0.430296652042203|0.492154111303054|0.361538579571915
LT|2013-01-01|2013-12-01|0.4548186339795|0.552946247993504|0.348548018026366
LU|2005-01-01|2005-12-01|1.83668480876483|1.67192671570668|2.04292969699762
LU|2010-01-01|2010-12-01|2.44700128636307|2.13405053078902|2.77317133238076
LU|2011-01-01|2011-12-01|3.07819441938402|2.04276961282894|4.17511547562425
LU|2012-01-01|2012-12-01|3.50698346511591|1.92443097493095|5.26608026780396
LU|2013-01-01|2013-12-01|3.84342140923061|1.91817693811124|5.92842997549436
LV|2005-01-01|2005-12-01|0.398700382700667|0.151453232855073|0.70820542636356
LV|2010-01-01|2010-12-01|0.23294303728321|0.160036647331531|0.308929051510605
LV|2011-01-01|2011-12-01|0.215519592196921|0.165582836804206|0.268422205813869
LV|2012-01-01|2012-12-01|0.208849072588074|0.188613983502265|0.231341521169538
LV|2013-01-01|2013-12-01|0.206626732118053|0.204604700391775|0.208816559713349
MT|2005-01-01|2005-12-01|0.192811916563691|0.0820369938291531|0.331480440423796
MT|2010-01-01|2010-12-01|0.133697237155576|0.1242005538292|0.14359506798809
MT|2011-01-01|2011-12-01|0.152217867796402|0.133766638773117|0.171764957552238
MT|2012-01-01|2012-12-01|0.159647605455053|0.141933034240025|0.179338355543035
MT|2013-01-01|2013-12-01|0.165558213227829|0.138385765850638|0.194985533444911
NL|2005-01-01|2005-12-01|8.98849107085098|12.4943142855945|4.59988651936801
NL|2010-01-01|2010-12-01|9.08366924674522|12.399063090184|5.62823051326892
NL|2011-01-01|2011-12-01|9.14582368095084|12.7952237147007|5.27967742453408
NL|2012-01-01|2012-12-01|9.438466823757|13.2428642314785|5.20966344593325
NL|2013-01-01|2013-12-01|9.50534135308015|13.6061828123525|5.06419650122596
PL|2005-01-01|2005-12-01|1.50393309230059|1.77617758873004|1.16313626286495
PL|2010-01-01|2010-12-01|1.96452746687138|2.16399772834704|1.75663142186794
PL|2011-01-01|2011-12-01|2.16244031927865|2.45278092782754|1.85485571730405
PL|2012-01-01|2012-12-01|2.22764004547712|2.51484405565331|1.90839650748801
PL|2013-01-01|2013-12-01|2.41758163916595|2.59820471078003|2.22196977935822
PT|2005-01-01|2005-12-01|1.11866056476585|1.17700836127892|1.04562054259091
PT|2010-01-01|2010-12-01|1.34084383982493|1.21921474059154|1.46761064957835
PT|2011-01-01|2011-12-01|1.32509287711599|1.1799257814388|1.47888177894011
PT|2012-01-01|2012-12-01|1.33173749139306|1.23819918474174|1.43571062162392
PT|2013-01-01|2013-12-01|1.40520152261601|1.19281472016779|1.63521298822923
RO|2005-01-01|2005-12-01|0.609602618248486|0.431522728440978|0.832523788845503
RO|2010-01-01|2010-12-01|0.809084892473582|0.595062758835366|1.032147492369
