id_master_country;date_in;date_out;population;pib
un762;1990-01-01;1990-12-31;5303152;17913328002.5307
un764;1990-01-01;1990-12-31;57072058;230552457893.948
un768;1990-01-01;1990-12-31;3665509;4252485149.16154
un772;1990-01-01;1990-12-31;1609;
un776;1990-01-01;1990-12-31;95150;367946459.122617
un780;1990-01-01;1990-12-31;1215494;8646489682.73168
un784;1990-01-01;1990-12-31;1808642;58656482054.1835
un788;1990-01-01;1990-12-31;8215111;33001907772.2259
un792;1990-01-01;1990-12-31;54130268;314371605492.218
un795;1990-01-01;1990-12-31;3668000;18824454129.4654
un796;1990-01-01;1990-12-31;11549;206846757.004042
un798;1990-01-01;1990-12-31;9004;28535282.9355156
un800;1990-01-01;1990-12-31;17699717;11704858153.0156
un804;1990-01-01;1990-12-31;51644914;419522153674.966
un807;1990-01-01;1990-12-31;1909353;14371294411.0702
un818;1990-01-01;1990-12-31;56843275;226021331470.196
un826;1990-01-01;1990-12-31;57214474;1323000431859.28
un830;1990-01-01;1990-12-31;140137;
un831;1990-01-01;1990-12-31;62623;2087959642.11519
un832;1990-01-01;1990-12-31;83609;
un833;1990-01-01;1990-12-31;70313;1220744521.63726
un834;1990-01-01;1990-12-31;25478979;21677717447.3908
un840;1990-01-01;1990-12-31;253339097;8540159683553.53
un850;1990-01-01;1990-12-31;103253;
un854;1990-01-01;1990-12-31;9323996;8206734987.39954
un858;1990-01-01;1990-12-31;3109122;23213980848.955
un860;1990-01-01;1990-12-31;20515248;40895630356.4569
un862;1990-01-01;1990-12-31;19685177;190968735563.126
un876;1990-01-01;1990-12-31;13882;33875025.2828577
un882;1990-01-01;1990-12-31;161308;563275199.767109
un887;1990-01-01;1990-12-31;11948209;22979987492.4267
un894;1990-01-01;1990-12-31;7860053;10217999143.6158
un004;1995-01-01;1995-12-31;19789880;11911018388.5049
un008;1995-01-01;1995-12-31;3141102;10320199726.7722
un012;1995-01-01;1995-12-31;28291591;133888058878.189
un016;1995-01-01;1995-12-31;52919;373098109.873163
un020;1995-01-01;1995-12-31;64699;1621600794.10043
un024;1995-01-01;1995-12-31;12105105;24077352617.0745
un028;1995-01-01;1995-12-31;68642;799703742.781984
un031;1995-01-01;1995-12-31;7764798;14198616636.4938
un032;1995-01-01;1995-12-31;34855160;341852041152.894
un036;1995-01-01;1995-12-31;18118416;462358702175.468
un040;1995-01-01;1995-12-31;7935624;221553253909.013
un044;1995-01-01;1995-12-31;279774;5550968893.02587
un048;1995-01-01;1995-12-31;559069;11046676346.8832
un050;1995-01-01;1995-12-31;117486952;107245158312.233
un051;1995-01-01;1995-12-31;3223173;5261201405.69325
un052;1995-01-01;1995-12-31;263416;3426872403.02398
un056;1995-01-01;1995-12-31;10079873;266924585863.193
un060;1995-01-01;1995-12-31;61405;3208914514.25076
un064;1995-01-01;1995-12-31;518584;1201597842.85393
un068;1995-01-01;1995-12-31;7470925;23641859763.7694
un070;1995-01-01;1995-12-31;3332098;7332687105.63529
un072;1995-01-01;1995-12-31;1585637;12733420371.8048
un076;1995-01-01;1995-12-31;161848162;1248392039670.72
